A tied data set.
1) 1, 2, 3, 4, 5, 6
2) 2, 3, 4, 5, 6, 1
3) 3, 4, 5, 6, 1, 2
4) 4, 5, 6, 1, 2, 3
5) 5, 6, 1, 2, 3, 4
6) 6, 1, 2, 3, 4, 5
7) 1, 2, 3, 4, 5, 6
8) 2, 3, 4, 5, 6, 1
9) 3, 4, 5, 6, 1, 2
10) 4, 5, 6, 1, 2, 3
11) 5, 6, 1, 2, 3, 4
12) 6, 1, 2, 3, 4, 5
13) 1, 2, 3, 4, 5, 6
14) 2, 3, 4, 5, 6, 1
15) 3, 4, 5, 6, 1, 2
16) 4, 5, 6, 1, 2, 3
17) 5, 6, 1, 2, 3, 4
18) 6, 1, 2, 3, 4, 5
19) 1, 2, 3, 4, 5, 6
20) 2, 3, 4, 5, 6, 1
21) 3, 4, 5, 6, 1, 2
22) 4, 5, 6, 1, 2, 3
23) 5, 6, 1, 2, 3, 4
24) 6, 1, 2, 3, 4, 5
